2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=7.4.1 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/js/woocommerce/header-cart.min.js?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/js/navigation.min.js?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:32 +0700] "GET /wp-content/themes/storefront/assets/js/footer.min.js?ver=4.2.0 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:33 +0700] "GET /wp-content/uploads/2023/03/other-small.jpg HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:33 +0700] "GET /wp-content/uploads/2023/03/other-small-1536x1024.jpg HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:33 +0700] "GET /wp-content/uploads/2023/03/logotokoyafi.png HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:33 +0700] "GET /wp-includes/js/wp-emoji-release.min.js?ver=6.2 HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:33 +0700] "GET /wp-content/uploads/2023/03/369b3288-9e1f-4e29-949e-4e3048c6d6ad-324x324.jpg HTTP/2.0" 304 0 "https://157.245.62.201/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:33 +0700] "GET /wp-content/themes/storefront/assets/fonts/fa-solid-900.woff2 HTTP/2.0" 200 79444 "https://tokoyafi.my.id/wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:34 +0700] "GET /wp-content/themes/storefront/assets/fonts/fa-solid-900.woff HTTP/2.0" 200 103300 "https://tokoyafi.my.id/wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
2001:448a:4043:465b:9d0b:2a7a:65ad:c58e - - [10/Apr/2023:21:49:35 +0700] "GET /wp-content/themes/storefront/assets/fonts/fa-solid-900.ttf HTTP/2.0" 200 202616 "https://tokoyafi.my.id/wp-content/themes/storefront/assets/css/base/icons.css?ver=4.2.0" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:35 +0700] "POST /?wc-ajax=get_refreshed_fragments HTTP/2.0" 200 703 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:35 +0700] "GET /favicon.ico HTTP/2.0" 302 0 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:48 +0700] "GET // HTTP/2.0" 200 13591 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:49 +0700] "GET /favicon.ico HTTP/2.0" 302 0 "https://157.245.62.201//" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:49 +0700] "GET // HTTP/2.0" 200 13588 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
125.163.226.93 - - [10/Apr/2023:21:49:51 +0700] "GET // HTTP/2.0" 200 13586 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
